95_Fuel,year,month
5500.3,2020.0,4
5377.2,2020.0,4
5282.3,2020.0,5
5268.6,2020.0,5
5385.9,2020.0,5
5569.9,2020.0,6
5629.6,2020.0,6
0.0,2020.0,6
5647.6,2020.0,6
5702.1,2020.0,7
0.0,2020.0,7
5791.8,2020.0,7
5881.9,2020.0,7
5933.6,2020.0,8
5957.4,2020.0,8
0.0,2020.0,8
5958.7,2020.0,8
5948.6,2020.0,9
0.0,2020.0,9
5897.7,2020.0,9
5799.5,2020.0,9
5762.5,2020.0,10
5736.5,2020.0,10
0.0,2020.0,10
5683.3,2020.0,10
0.0,2020.0,11
5601.3,2020.0,11
5628.8,2020.0,11
5739.3,2020.0,11
0.0,2020.0,12
5981.2,2020.0,12
0.0,2020.0,12
6170.2,2020.0,12
6221.3,2020.0,12
0.0,2021.0,1
6243.0,2021.0,1
0.0,2021.0,1
6381.9,2021.0,1
0.0,2021.0,1
6487.1,2021.0,1
6608.3,2021.0,2
0.0,2021.0,2
6979.4,2021.0,2
7151.7,2021.0,2
0.0,2021.0,3
7402.3,2021.0,3
0.0,2021.0,3
7622.1,2021.0,3
7557.5,2021.0,3
0.0,2021.0,4
7461.7,2021.0,4
7769.6,2021.0,4
0.0,2021.0,4
7928.2,2021.0,4
7979.9,2021.0,5
0.0,2021.0,5
8046.5,2021.0,5
8099.4,2021.0,5
8189.2,2021.0,6
0.0,2021.0,6
8290.0,2021.0,6
0.0,2021.0,6
8329.6,2021.0,6
8359.1,2021.0,7
0.0,2021.0,7
8315.7,2021.0,7
0.0,2021.0,7
8257.2,2021.0,7
8179.5,2021.0,8
8035.6,2021.0,8
0.0,2021.0,8
7866.5,2021.0,8
0.0,2021.0,9
7861.5,2021.0,9
0.0,2021.0,9
8128.4,2021.0,9
8157.0,2021.0,9
8319.6,2021.0,10
8909.9,2021.0,10
0.0,2021.0,10
9517.2,2021.0,10
9003.4,2021.0,11
8631.6,2021.0,11
8539.2,2021.0,11
0.0,2021.0,12
8390.1,2021.0,12
0.0,2021.0,12
8211.1,2021.0,12
8029.3,2021.0,12
0.0,2022.0,1
8066.3,2022.0,1
0.0,2022.0,1
8373.6,2022.0,1
0.0,2022.0,1
8640.1,2022.0,1
9608.9,2022.0,2
0.0,2022.0,2
9693.1,2022.0,2
9772.4,2022.0,2
0.0,2022.0,3
10273.4,2022.0,3
0.0,2022.0,3
10490.3,2022.0,3
10206.0,2022.0,3
0.0,2022.0,4
9572.7,2022.0,4
0.0,2022.0,4
9192.3,2022.0,4
0.0,2022.0,4
9279.4,2022.0,4
9350.5,2022.0,5
0.0,2022.0,5
9277.6,2022.0,5
9349.4,2022.0,5
9713.4,2022.0,6
0.0,2022.0,6
10014.1,2022.0,6
0.0,2022.0,6
9832.6,2022.0,6
9629.6,2022.0,7
0.0,2022.0,7
9449.4,2022.0,7
0.0,2022.0,7
9251.6,2022.0,7
9363.7,2022.0,8
9490.3,2022.0,8
0.0,2022.0,8
9623.3,2022.0,8
0.0,2022.0,9
9812.3,2022.0,9
9663.0,2022.0,9
0.0,2022.0,9
9308.1,2022.0,9
9286.7,2022.0,10
9209.0,2022.0,10
0.0,2022.0,10
9059.8,2022.0,10
0.0,2022.0,11
9043.1,2022.0,11
9020.4,2022.0,11
0.0,2022.0,11
8812.4,2022.0,11
0.0,2022.0,12
8503.3,2022.0,12
8364.9,2022.0,12
8226.6,2022.0,12
0.0,2023.0,1
8468.0,2023.0,1
0.0,2023.0,1
9012.6,2023.0,1
0.0,2023.0,2
9358.7,2023.0,2
9136.3,2023.0,2
9093.3,2023.0,2
9158.1,2023.0,3
0.0,2023.0,3
9096.7,2023.0,3
8910.3,2023.0,3
0.0,2023.0,4
9249.6,2023.0,4
0.0,2023.0,4
9451.8,2023.0,4
0.0,2023.0,4
9499.7,2023.0,4
9297.9,2023.0,5
0.0,2023.0,5
9195.9,2023.0,5
9170.6,2023.0,5
9211.2,2023.0,6
0.0,2023.0,6
9150.6,2023.0,6
0.0,2023.0,6
9106.6,2023.0,6
